2025-01-26 01:45:27,643 - INFO - Namespace(device='cuda:1', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=8, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=1000, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, aug=False, wandb=True, cache=True, log_dir='../../de_logistics/ACDC_1UNetlinear_1DeepLabV3Plinear_01-26-01-45-26/', log_file_path='../../de_logistics/ACDC_1UNetlinear_1DeepLabV3Plinear_01-26-01-45-26/training.log')
Epoch 1/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:44<00:00,  1.69batch/s]
2025-01-26 01:46:17,494 - INFO - train_loss:1.2372548325856527 in epoch1
2025-01-26 01:46:17,495 - INFO - train_acc:0.418240443835708 in epoch1
2025-01-26 01:46:17,496 - INFO - Epoch 1: Learning Rate: [2e-05]
Epoch 1/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.59batch/s]
2025-01-26 01:46:32,168 - INFO - valid_loss:1.2250757437003286 in epoch1
2025-01-26 01:46:32,169 - INFO - valid_acc:0.3151423664981826 in epoch1
2025-01-26 01:46:32,169 - INFO - Mean iou = 24.67% in epoch1
2025-01-26 01:46:32,170 - INFO - save the model in epoch1
Epoch 2/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.77batch/s]
2025-01-26 01:47:14,529 - INFO - train_loss:1.1786753559112548 in epoch2
2025-01-26 01:47:14,530 - INFO - train_acc:0.6294786293760827 in epoch2
2025-01-26 01:47:14,530 - INFO - Epoch 2: Learning Rate: [3e-05]
Epoch 2/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.59batch/s]
2025-01-26 01:47:29,177 - INFO - valid_loss:1.169607190709365 in epoch2
2025-01-26 01:47:29,178 - INFO - valid_acc:0.6251545507677763 in epoch2
2025-01-26 01:47:29,178 - INFO - Mean iou = 50.50% in epoch2
2025-01-26 01:47:29,179 - INFO - save the model in epoch2
Epoch 3/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.77batch/s]
2025-01-26 01:48:11,756 - INFO - train_loss:1.1583665672938028 in epoch3
2025-01-26 01:48:11,757 - INFO - train_acc:0.6825987115374489 in epoch3
2025-01-26 01:48:11,757 - INFO - Epoch 3: Learning Rate: [4e-05]
Epoch 3/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.65batch/s]
