2025-02-02 16:35:57,616 - INFO - Namespace(device='cuda:3', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=8, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, aug=False, wandb=True, cache=True, log_dir='../../de_logistics/ACDC_2UNetlinear_02-02-16-35-56/', log_file_path='../../de_logistics/ACDC_2UNetlinear_02-02-16-35-56/training.log')
Epoch 1/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 16:36:51,211 - INFO - train_loss:1.3848735316594443 in epoch1
2025-02-02 16:36:51,212 - INFO - train_acc:0.2814579391446571 in epoch1
2025-02-02 16:36:51,212 - INFO - Epoch 1: Learning Rate: [2e-05]
Epoch 1/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.21batch/s]
2025-02-02 16:36:57,103 - INFO - valid_loss:1.320441016784081 in epoch1
2025-02-02 16:36:57,103 - INFO - valid_acc:0.3851080392003541 in epoch1
2025-02-02 16:36:57,103 - INFO - Mean iou = 29.91% in epoch1
2025-02-02 16:36:57,104 - INFO - save the model in epoch1
Epoch 2/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.58batch/s]
2025-02-02 16:37:44,672 - INFO - train_loss:1.2677378829320272 in epoch2
2025-02-02 16:37:44,673 - INFO - train_acc:0.5252086123112065 in epoch2
2025-02-02 16:37:44,673 - INFO - Epoch 2: Learning Rate: [3e-05]
Epoch 2/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.20batch/s]
2025-02-02 16:37:50,577 - INFO - valid_loss:1.2598956731649547 in epoch2
2025-02-02 16:37:50,578 - INFO - valid_acc:0.5431576649258114 in epoch2
2025-02-02 16:37:50,578 - INFO - Mean iou = 42.35% in epoch2
2025-02-02 16:37:50,579 - INFO - save the model in epoch2
Epoch 3/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.57batch/s]
2025-02-02 16:38:38,435 - INFO - train_loss:1.2244730997085571 in epoch3
2025-02-02 16:38:38,436 - INFO - train_acc:0.7071991071473221 in epoch3
2025-02-02 16:38:38,436 - INFO - Epoch 3: Learning Rate: [4e-05]
Epoch 3/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 16:38:44,721 - INFO - valid_loss:1.2003902655381422 in epoch3
2025-02-02 16:38:44,721 - INFO - valid_acc:0.7965928355651051 in epoch3
2025-02-02 16:38:44,722 - INFO - Mean iou = 68.36% in epoch3
2025-02-02 16:38:44,722 - INFO - save the model in epoch3
Epoch 4/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 16:39:33,050 - INFO - train_loss:1.1944132820765176 in epoch4
2025-02-02 16:39:33,051 - INFO - train_acc:0.773541143149182 in epoch4
2025-02-02 16:39:33,051 - INFO - Epoch 4: Learning Rate: [5e-05]
Epoch 4/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 16:39:39,324 - INFO - valid_loss:1.1774111527663012 in epoch4
2025-02-02 16:39:39,325 - INFO - valid_acc:0.8390649260900697 in epoch4
2025-02-02 16:39:39,325 - INFO - Mean iou = 73.91% in epoch4
2025-02-02 16:39:39,325 - INFO - save the model in epoch4
Epoch 5/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.57batch/s]
2025-02-02 16:40:27,160 - INFO - train_loss:1.1770216449101767 in epoch5
2025-02-02 16:40:27,160 - INFO - train_acc:0.8317266289047538 in epoch5
2025-02-02 16:40:27,160 - INFO - Epoch 5: Learning Rate: [6e-05]
Epoch 5/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.18batch/s]
2025-02-02 16:40:33,117 - INFO - valid_loss:1.1664722791084876 in epoch5
2025-02-02 16:40:33,118 - INFO - valid_acc:0.8347018717451863 in epoch5
2025-02-02 16:40:33,118 - INFO - Mean iou = 73.28% in epoch5
Epoch 6/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.57batch/s]
2025-02-02 16:41:20,911 - INFO - train_loss:1.1697036457061767 in epoch6
2025-02-02 16:41:20,912 - INFO - train_acc:0.8588761388624628 in epoch6
2025-02-02 16:41:20,912 - INFO - Epoch 6: Learning Rate: [7e-05]
Epoch 6/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.22batch/s]
2025-02-02 16:41:26,764 - INFO - valid_loss:1.1599828096536489 in epoch6
