2025-02-02 17:38:53,627 - INFO - Namespace(device='cuda:4', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=6, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, aug=False, wandb=True, cache=True, log_dir='../../de_logistics/ACDC_3UNetlinear_02-02-17-38-52/', log_file_path='../../de_logistics/ACDC_3UNetlinear_02-02-17-38-52/training.log')
Epoch 1/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.57batch/s]
2025-02-02 17:40:02,661 - INFO - train_loss:1.2832672572135926 in epoch1
2025-02-02 17:40:02,662 - INFO - train_acc:0.382990108609106 in epoch1
2025-02-02 17:40:02,662 - INFO - Epoch 1: Learning Rate: [2e-05]
Epoch 1/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.60batch/s]
2025-02-02 17:40:09,213 - INFO - valid_loss:1.2138177647310144 in epoch1
2025-02-02 17:40:09,214 - INFO - valid_acc:0.6332077974500168 in epoch1
2025-02-02 17:40:09,214 - INFO - Mean iou = 51.39% in epoch1
2025-02-02 17:40:09,214 - INFO - save the model in epoch1
Epoch 2/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:41:12,546 - INFO - train_loss:1.208026374578476 in epoch2
2025-02-02 17:41:12,547 - INFO - train_acc:0.6780430572417034 in epoch2
2025-02-02 17:41:12,547 - INFO - Epoch 2: Learning Rate: [3e-05]
Epoch 2/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 17:41:19,174 - INFO - valid_loss:1.192397902993595 in epoch2
2025-02-02 17:41:19,174 - INFO - valid_acc:0.7465166144854819 in epoch2
2025-02-02 17:41:19,175 - INFO - Mean iou = 62.81% in epoch2
2025-02-02 17:41:19,175 - INFO - save the model in epoch2
Epoch 3/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:42:22,793 - INFO - train_loss:1.1832872414588929 in epoch3
2025-02-02 17:42:22,794 - INFO - train_acc:0.7731661600025432 in epoch3
2025-02-02 17:42:22,795 - INFO - Epoch 3: Learning Rate: [4e-05]
Epoch 3/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 17:42:29,419 - INFO - valid_loss:1.169198702363407 in epoch3
2025-02-02 17:42:29,419 - INFO - valid_acc:0.8341110447701685 in epoch3
2025-02-02 17:42:29,420 - INFO - Mean iou = 73.25% in epoch3
2025-02-02 17:42:29,420 - INFO - save the model in epoch3
Epoch 4/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:43:32,648 - INFO - train_loss:1.1723160123825074 in epoch4
2025-02-02 17:43:32,648 - INFO - train_acc:0.8276346267305926 in epoch4
2025-02-02 17:43:32,649 - INFO - Epoch 4: Learning Rate: [5e-05]
Epoch 4/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.52batch/s]
2025-02-02 17:43:39,394 - INFO - valid_loss:1.160956018111285 in epoch4
2025-02-02 17:43:39,394 - INFO - valid_acc:0.8574615180152209 in epoch4
2025-02-02 17:43:39,395 - INFO - Mean iou = 76.44% in epoch4
2025-02-02 17:43:39,395 - INFO - save the model in epoch4
Epoch 5/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:44:42,764 - INFO - train_loss:1.1670093095302583 in epoch5
2025-02-02 17:44:42,765 - INFO - train_acc:0.8563730503683321 in epoch5
2025-02-02 17:44:42,765 - INFO - Epoch 5: Learning Rate: [6e-05]
Epoch 5/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.59batch/s]
2025-02-02 17:44:49,337 - INFO - valid_loss:1.1589935106389664 in epoch5
2025-02-02 17:44:49,337 - INFO - valid_acc:0.8840448965881846 in epoch5
2025-02-02 17:44:49,337 - INFO - Mean iou = 80.16% in epoch5
2025-02-02 17:44:49,338 - INFO - save the model in epoch5
Epoch 6/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:45:52,794 - INFO - train_loss:1.1645256447792054 in epoch6
2025-02-02 17:45:52,795 - INFO - train_acc:0.8703321297643859 in epoch6
2025-02-02 17:45:52,795 - INFO - Epoch 6: Learning Rate: [7e-05]
Epoch 6/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 17:45:59,404 - INFO - valid_loss:1.1578532948213465 in epoch6
2025-02-02 17:45:59,404 - INFO - valid_acc:0.886019676721726 in epoch6
2025-02-02 17:45:59,404 - INFO - Mean iou = 80.46% in epoch6
2025-02-02 17:45:59,405 - INFO - save the model in epoch6
Epoch 7/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:47:02,643 - INFO - train_loss:1.162383974790573 in epoch7
2025-02-02 17:47:02,644 - INFO - train_acc:0.8832659739004736 in epoch7
2025-02-02 17:47:02,645 - INFO - Epoch 7: Learning Rate: [8e-05]
Epoch 7/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.58batch/s]
2025-02-02 17:47:09,229 - INFO - valid_loss:1.1592500560423906 in epoch7
2025-02-02 17:47:09,229 - INFO - valid_acc:0.8986788986350762 in epoch7
2025-02-02 17:47:09,230 - INFO - Mean iou = 82.37% in epoch7
2025-02-02 17:47:09,230 - INFO - save the model in epoch7
Epoch 8/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.59batch/s]
2025-02-02 17:48:12,422 - INFO - train_loss:1.1617230129241944 in epoch8
2025-02-02 17:48:12,422 - INFO - train_acc:0.8869058782963205 in epoch8
2025-02-02 17:48:12,422 - INFO - Epoch 8: Learning Rate: [9e-05]
Epoch 8/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 17:48:19,040 - INFO - valid_loss:1.1550641480614157 in epoch8
2025-02-02 17:48:19,041 - INFO - valid_acc:0.8944203217380824 in epoch8
2025-02-02 17:48:19,041 - INFO - Mean iou = 81.83% in epoch8
Epoch 9/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:49:22,448 - INFO - train_loss:1.1613711965084077 in epoch9
2025-02-02 17:49:22,448 - INFO - train_acc:0.8909190660243275 in epoch9
2025-02-02 17:49:22,448 - INFO - Epoch 9: Learning Rate: [0.0001]
Epoch 9/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.60batch/s]
2025-02-02 17:49:28,985 - INFO - valid_loss:1.1574471277349136 in epoch9
2025-02-02 17:49:28,985 - INFO - valid_acc:0.877904073278132 in epoch9
2025-02-02 17:49:28,986 - INFO - Mean iou = 79.32% in epoch9
Epoch 10/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.59batch/s]
2025-02-02 17:50:32,047 - INFO - train_loss:1.160336946249008 in epoch10
2025-02-02 17:50:32,048 - INFO - train_acc:0.8971088959865451 in epoch10
2025-02-02 17:50:32,048 - INFO - Epoch 10: Learning Rate: [0.0001]
Epoch 10/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.62batch/s]
2025-02-02 17:50:38,533 - INFO - valid_loss:1.1516598322812248 in epoch10
2025-02-02 17:50:38,534 - INFO - valid_acc:0.9141312793900633 in epoch10
2025-02-02 17:50:38,534 - INFO - Mean iou = 84.78% in epoch10
2025-02-02 17:50:38,535 - INFO - save the model in epoch10
Epoch 11/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.59batch/s]
2025-02-02 17:51:41,746 - INFO - train_loss:1.1589240872859954 in epoch11
2025-02-02 17:51:41,747 - INFO - train_acc:0.9064152975937217 in epoch11
2025-02-02 17:51:41,747 - INFO - Epoch 11: Learning Rate: [9.999897245068351e-05]
Epoch 11/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.58batch/s]
2025-02-02 17:51:48,350 - INFO - valid_loss:1.1533557176589966 in epoch11
2025-02-02 17:51:48,350 - INFO - valid_acc:0.8961333578879521 in epoch11
2025-02-02 17:51:48,351 - INFO - Mean iou = 81.97% in epoch11
Epoch 12/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:02<00:00,  1.59batch/s]
2025-02-02 17:52:51,337 - INFO - train_loss:1.159213033914566 in epoch12
2025-02-02 17:52:51,338 - INFO - train_acc:0.9048642223458669 in epoch12
2025-02-02 17:52:51,338 - INFO - Epoch 12: Learning Rate: [9.999588984497258e-05]
Epoch 12/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.62batch/s]
2025-02-02 17:52:57,837 - INFO - valid_loss:1.1526251820956959 in epoch12
2025-02-02 17:52:57,838 - INFO - valid_acc:0.9146288971020482 in epoch12
2025-02-02 17:52:57,838 - INFO - Mean iou = 84.84% in epoch12
2025-02-02 17:52:57,838 - INFO - save the model in epoch12
Epoch 13/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:54:01,175 - INFO - train_loss:1.158517107963562 in epoch13
2025-02-02 17:54:01,176 - INFO - train_acc:0.9110117114808993 in epoch13
2025-02-02 17:54:01,176 - INFO - Epoch 13: Learning Rate: [9.999075230958104e-05]
Epoch 13/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 17:54:07,782 - INFO - valid_loss:1.1521315504522884 in epoch13
2025-02-02 17:54:07,782 - INFO - valid_acc:0.9185691519119694 in epoch13
2025-02-02 17:54:07,782 - INFO - Mean iou = 85.49% in epoch13
2025-02-02 17:54:07,783 - INFO - save the model in epoch13
Epoch 14/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:55:11,018 - INFO - train_loss:1.1578803956508636 in epoch14
2025-02-02 17:55:11,018 - INFO - train_acc:0.9163421247082638 in epoch14
2025-02-02 17:55:11,018 - INFO - Epoch 14: Learning Rate: [9.998356005569284e-05]
Epoch 14/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.52batch/s]
2025-02-02 17:55:17,753 - INFO - valid_loss:1.1515971001456766 in epoch14
2025-02-02 17:55:17,753 - INFO - valid_acc:0.9197587017653721 in epoch14
2025-02-02 17:55:17,754 - INFO - Mean iou = 85.65% in epoch14
2025-02-02 17:55:17,754 - INFO - save the model in epoch14
Epoch 15/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:56:21,148 - INFO - train_loss:1.1576818096637727 in epoch15
2025-02-02 17:56:21,149 - INFO - train_acc:0.918296706135452 in epoch15
2025-02-02 17:56:21,149 - INFO - Epoch 15: Learning Rate: [9.99743133789534e-05]
Epoch 15/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.51batch/s]
2025-02-02 17:56:27,931 - INFO - valid_loss:1.1523523541057812 in epoch15
2025-02-02 17:56:27,932 - INFO - valid_acc:0.9233324261341311 in epoch15
2025-02-02 17:56:27,932 - INFO - Mean iou = 86.27% in epoch15
2025-02-02 17:56:27,933 - INFO - save the model in epoch15
Epoch 16/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:57:31,244 - INFO - train_loss:1.157621258497238 in epoch16
2025-02-02 17:57:31,245 - INFO - train_acc:0.9193984093598904 in epoch16
2025-02-02 17:57:31,245 - INFO - Epoch 16: Learning Rate: [9.996301265945735e-05]
Epoch 16/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 17:57:37,859 - INFO - valid_loss:1.1513964288374956 in epoch16
2025-02-02 17:57:37,859 - INFO - valid_acc:0.9174837191366679 in epoch16
2025-02-02 17:57:37,859 - INFO - Mean iou = 85.26% in epoch16
Epoch 17/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 17:58:41,122 - INFO - train_loss:1.1574536275863647 in epoch17
2025-02-02 17:58:41,122 - INFO - train_acc:0.9189542544188088 in epoch17
2025-02-02 17:58:41,123 - INFO - Epoch 17: Learning Rate: [9.994965836173304e-05]
Epoch 17/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.60batch/s]
2025-02-02 17:58:47,665 - INFO - valid_loss:1.1513094831915462 in epoch17
2025-02-02 17:58:47,666 - INFO - valid_acc:0.9293679028852759 in epoch17
2025-02-02 17:58:47,666 - INFO - Mean iou = 87.23% in epoch17
2025-02-02 17:58:47,667 - INFO - save the model in epoch17
Epoch 18/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.59batch/s]
2025-02-02 17:59:50,809 - INFO - train_loss:1.156909670829773 in epoch18
2025-02-02 17:59:50,810 - INFO - train_acc:0.9230361504689433 in epoch18
2025-02-02 17:59:50,810 - INFO - Epoch 18: Learning Rate: [9.99342510347233e-05]
Epoch 18/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.56batch/s]
2025-02-02 17:59:57,462 - INFO - valid_loss:1.1510458062676823 in epoch18
2025-02-02 17:59:57,462 - INFO - valid_acc:0.914635789506534 in epoch18
2025-02-02 17:59:57,463 - INFO - Mean iou = 84.85% in epoch18
Epoch 19/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 18:01:00,734 - INFO - train_loss:1.1567254614830018 in epoch19
2025-02-02 18:01:00,734 - INFO - train_acc:0.9256688574475017 in epoch19
2025-02-02 18:01:00,735 - INFO - Epoch 19: Learning Rate: [9.991679131176305e-05]
Epoch 19/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.61batch/s]
2025-02-02 18:01:07,249 - INFO - valid_loss:1.1519675114575554 in epoch19
2025-02-02 18:01:07,250 - INFO - valid_acc:0.923406734220674 in epoch19
2025-02-02 18:01:07,250 - INFO - Mean iou = 86.29% in epoch19
Epoch 20/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:02<00:00,  1.59batch/s]
2025-02-02 18:02:10,222 - INFO - train_loss:1.1569578433036805 in epoch20
2025-02-02 18:02:10,223 - INFO - train_acc:0.924102698709123 in epoch20
2025-02-02 18:02:10,223 - INFO - Epoch 20: Learning Rate: [9.989727991055307e-05]
Epoch 20/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.63batch/s]
2025-02-02 18:02:16,692 - INFO - valid_loss:1.1513921232784496 in epoch20
2025-02-02 18:02:16,693 - INFO - valid_acc:0.9254754858363005 in epoch20
2025-02-02 18:02:16,693 - INFO - Mean iou = 86.58% in epoch20
Epoch 21/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:02<00:00,  1.59batch/s]
2025-02-02 18:03:19,691 - INFO - train_loss:1.1565810310840607 in epoch21
2025-02-02 18:03:19,691 - INFO - train_acc:0.9265404221157997 in epoch21
2025-02-02 18:03:19,691 - INFO - Epoch 21: Learning Rate: [9.987571763313067e-05]
Epoch 21/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.60batch/s]
2025-02-02 18:03:26,221 - INFO - valid_loss:1.1499277844148523 in epoch21
2025-02-02 18:03:26,222 - INFO - valid_acc:0.9334194682378665 in epoch21
2025-02-02 18:03:26,222 - INFO - Mean iou = 87.91% in epoch21
2025-02-02 18:03:26,223 - INFO - save the model in epoch21
Epoch 22/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 18:04:29,487 - INFO - train_loss:1.156288812160492 in epoch22
2025-02-02 18:04:29,487 - INFO - train_acc:0.9289264060170133 in epoch22
2025-02-02 18:04:29,487 - INFO - Epoch 22: Learning Rate: [9.985210536583661e-05]
Epoch 22/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.58batch/s]
2025-02-02 18:04:36,074 - INFO - valid_loss:1.1501799611484302 in epoch22
2025-02-02 18:04:36,075 - INFO - valid_acc:0.9225798410821718 in epoch22
2025-02-02 18:04:36,075 - INFO - Mean iou = 86.12% in epoch22
Epoch 23/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.59batch/s]
2025-02-02 18:05:39,121 - INFO - train_loss:1.1567296886444092 in epoch23
2025-02-02 18:05:39,122 - INFO - train_acc:0.9259728390019228 in epoch23
2025-02-02 18:05:39,122 - INFO - Epoch 23: Learning Rate: [9.982644407927872e-05]
Epoch 23/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 18:05:45,729 - INFO - valid_loss:1.1499593959135168 in epoch23
2025-02-02 18:05:45,730 - INFO - valid_acc:0.9252436306528169 in epoch23
2025-02-02 18:05:45,730 - INFO - Mean iou = 86.53% in epoch23
Epoch 24/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.57batch/s]
2025-02-02 18:06:49,382 - INFO - train_loss:1.1561131811141967 in epoch24
2025-02-02 18:06:49,382 - INFO - train_acc:0.9306388017715658 in epoch24
2025-02-02 18:06:49,382 - INFO - Epoch 24: Learning Rate: [9.979873482829199e-05]
Epoch 24/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.65batch/s]
2025-02-02 18:06:55,807 - INFO - valid_loss:1.1502962392919205 in epoch24
2025-02-02 18:06:55,808 - INFO - valid_acc:0.9264430512846547 in epoch24
2025-02-02 18:06:55,808 - INFO - Mean iou = 86.73% in epoch24
Epoch 25/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:02<00:00,  1.59batch/s]
2025-02-02 18:07:58,718 - INFO - train_loss:1.1559721553325653 in epoch25
2025-02-02 18:07:58,718 - INFO - train_acc:0.9324919917062354 in epoch25
2025-02-02 18:07:58,719 - INFO - Epoch 25: Learning Rate: [9.976897875189518e-05]
Epoch 25/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.60batch/s]
2025-02-02 18:08:05,247 - INFO - valid_loss:1.1502838415258072 in epoch25
2025-02-02 18:08:05,247 - INFO - valid_acc:0.9294311990933934 in epoch25
2025-02-02 18:08:05,247 - INFO - Mean iou = 87.25% in epoch25
Epoch 26/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 18:09:08,516 - INFO - train_loss:1.155896201133728 in epoch26
2025-02-02 18:09:08,517 - INFO - train_acc:0.9333678265317306 in epoch26
2025-02-02 18:09:08,517 - INFO - Epoch 26: Learning Rate: [9.973717707324405e-05]
Epoch 26/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.54batch/s]
2025-02-02 18:09:15,225 - INFO - valid_loss:1.1504642963409424 in epoch26
2025-02-02 18:09:15,225 - INFO - valid_acc:0.9307586621317137 in epoch26
2025-02-02 18:09:15,226 - INFO - Mean iou = 87.47% in epoch26
Epoch 27/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 18:10:18,354 - INFO - train_loss:1.1559716761112213 in epoch27
2025-02-02 18:10:18,354 - INFO - train_acc:0.9328693031751363 in epoch27
2025-02-02 18:10:18,355 - INFO - Epoch 27: Learning Rate: [9.970333109958104e-05]
Epoch 27/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.57batch/s]
2025-02-02 18:10:24,971 - INFO - valid_loss:1.1507831110673792 in epoch27
2025-02-02 18:10:24,971 - INFO - valid_acc:0.9337637538947012 in epoch27
2025-02-02 18:10:24,971 - INFO - Mean iou = 87.98% in epoch27
2025-02-02 18:10:24,972 - INFO - save the model in epoch27
Epoch 28/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.58batch/s]
2025-02-02 18:11:28,337 - INFO - train_loss:1.155757384300232 in epoch28
2025-02-02 18:11:28,338 - INFO - train_acc:0.9344545267627623 in epoch28
2025-02-02 18:11:28,338 - INFO - Epoch 28: Learning Rate: [9.966744222218161e-05]
Epoch 28/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.55batch/s]
2025-02-02 18:11:35,018 - INFO - valid_loss:1.1500688300413244 in epoch28
2025-02-02 18:11:35,019 - INFO - valid_acc:0.9348145930046448 in epoch28
2025-02-02 18:11:35,019 - INFO - Mean iou = 88.12% in epoch28
2025-02-02 18:11:35,020 - INFO - save the model in epoch28
