2025-02-03 14:00:39,701 - INFO - Namespace(device='cuda:3', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=6, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='MnMs', max_channel=256, l2_norm=1e-07, patience=15, wandb=True, cache=True, log_dir='../../de_logistics/MnMs_3UNetlinear_02-03-14-00-38/', log_file_path='../../de_logistics/MnMs_3UNetlinear_02-03-14-00-38/training.log')
Epoch 1/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 14:03:03,135 - INFO - train_loss:1.2972206257759256 in epoch1
2025-02-03 14:03:03,135 - INFO - train_acc:0.3321858537491293 in epoch1
2025-02-03 14:03:03,135 - INFO - Epoch 1: Learning Rate: [2e-05]
Epoch 1/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.30batch/s]
2025-02-03 14:03:08,355 - INFO - valid_loss:1.240791380405426 in epoch1
2025-02-03 14:03:08,356 - INFO - valid_acc:0.5358111837571584 in epoch1
2025-02-03 14:03:08,356 - INFO - Mean iou = 43.54% in epoch1
2025-02-03 14:03:08,357 - INFO - save the model in epoch1
Epoch 2/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:05:25,697 - INFO - train_loss:1.223165751137632 in epoch2
2025-02-03 14:05:25,698 - INFO - train_acc:0.6610383571409824 in epoch2
2025-02-03 14:05:25,698 - INFO - Epoch 2: Learning Rate: [3e-05]
Epoch 2/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 14:05:31,018 - INFO - valid_loss:1.2118186056613922 in epoch2
2025-02-03 14:05:31,018 - INFO - valid_acc:0.7851945550658894 in epoch2
2025-02-03 14:05:31,019 - INFO - Mean iou = 67.02% in epoch2
2025-02-03 14:05:31,019 - INFO - save the model in epoch2
Epoch 3/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 14:07:48,037 - INFO - train_loss:1.2027364392229851 in epoch3
2025-02-03 14:07:48,038 - INFO - train_acc:0.7679119685961737 in epoch3
2025-02-03 14:07:48,038 - INFO - Epoch 3: Learning Rate: [4e-05]
Epoch 3/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.30batch/s]
2025-02-03 14:07:53,268 - INFO - valid_loss:1.2036920587221782 in epoch3
2025-02-03 14:07:53,268 - INFO - valid_acc:0.7909400238651635 in epoch3
2025-02-03 14:07:53,268 - INFO - Mean iou = 67.51% in epoch3
2025-02-03 14:07:53,269 - INFO - save the model in epoch3
Epoch 4/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:10:10,771 - INFO - train_loss:1.1960438800619004 in epoch4
2025-02-03 14:10:10,772 - INFO - train_acc:0.8010656589706028 in epoch4
