2025-02-04 21:42:50,827 - INFO - Namespace(device='cuda:1', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=4, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, wandb=True, cache=True, ed_es_only='', log_dir='../../de_logistics/ACDC_1DeepLabV3Plinear_02-04-21-42-49/', log_file_path='../../de_logistics/ACDC_1DeepLabV3Plinear_02-04-21-42-49/training.log')
Epoch 1/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:28<00:00,  5.34batch/s]
2025-02-04 21:43:24,880 - INFO - train_loss:1.262208108107249 in epoch1
2025-02-04 21:43:24,881 - INFO - train_acc:0.44658503254272885 in epoch1
2025-02-04 21:43:24,881 - INFO - Epoch 1: Learning Rate: [2e-05]
Epoch 1/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:04<00:00,  6.09batch/s]
2025-02-04 21:43:28,991 - INFO - valid_loss:1.2146014404296874 in epoch1
2025-02-04 21:43:28,992 - INFO - valid_acc:0.4977090165105574 in epoch1
2025-02-04 21:43:28,992 - INFO - Mean iou = 40.25% in epoch1
2025-02-04 21:43:28,993 - INFO - save the model in epoch1
Epoch 2/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.93batch/s]
2025-02-04 21:43:54,367 - INFO - train_loss:1.2082806030909221 in epoch2
2025-02-04 21:43:54,368 - INFO - train_acc:0.5438737144200668 in epoch2
2025-02-04 21:43:54,368 - INFO - Epoch 2: Learning Rate: [3e-05]
Epoch 2/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.59batch/s]
2025-02-04 21:43:58,162 - INFO - valid_loss:1.2051255655288697 in epoch2
2025-02-04 21:43:58,163 - INFO - valid_acc:0.4927705267008139 in epoch2
2025-02-04 21:43:58,163 - INFO - Mean iou = 39.92% in epoch2
Epoch 3/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.92batch/s]
2025-02-04 21:44:23,517 - INFO - train_loss:1.1996568036079407 in epoch3
2025-02-04 21:44:23,517 - INFO - train_acc:0.5731553632949516 in epoch3
2025-02-04 21:44:23,518 - INFO - Epoch 3: Learning Rate: [4e-05]
Epoch 3/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.55batch/s]
2025-02-04 21:44:27,334 - INFO - valid_loss:1.1966268920898437 in epoch3
2025-02-04 21:44:27,335 - INFO - valid_acc:0.5913987752413155 in epoch3
2025-02-04 21:44:27,335 - INFO - Mean iou = 47.42% in epoch3
2025-02-04 21:44:27,335 - INFO - save the model in epoch3
Epoch 4/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.86batch/s]
2025-02-04 21:44:53,030 - INFO - train_loss:1.1953596703211467 in epoch4
2025-02-04 21:44:53,031 - INFO - train_acc:0.5994129810457557 in epoch4
2025-02-04 21:44:53,031 - INFO - Epoch 4: Learning Rate: [5e-05]
Epoch 4/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.38batch/s]
2025-02-04 21:44:56,949 - INFO - valid_loss:1.2002640771865845 in epoch4
2025-02-04 21:44:56,949 - INFO - valid_acc:0.5488722208817687 in epoch4
2025-02-04 21:44:56,949 - INFO - Mean iou = 43.83% in epoch4
Epoch 5/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.92batch/s]
2025-02-04 21:45:22,285 - INFO - train_loss:1.1925151801109315 in epoch5
2025-02-04 21:45:22,286 - INFO - train_acc:0.6192642572054138 in epoch5
2025-02-04 21:45:22,286 - INFO - Epoch 5: Learning Rate: [6e-05]
Epoch 5/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.44batch/s]
2025-02-04 21:45:26,170 - INFO - valid_loss:1.1862702322006227 in epoch5
2025-02-04 21:45:26,170 - INFO - valid_acc:0.6255882806783629 in epoch5
2025-02-04 21:45:26,170 - INFO - Mean iou = 50.84% in epoch5
2025-02-04 21:45:26,171 - INFO - save the model in epoch5
Epoch 6/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.82batch/s]
2025-02-04 21:45:52,045 - INFO - train_loss:1.1899690731366475 in epoch6
2025-02-04 21:45:52,046 - INFO - train_acc:0.6364421270767564 in epoch6
2025-02-04 21:45:52,046 - INFO - Epoch 6: Learning Rate: [7e-05]
Epoch 6/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.32batch/s]
2025-02-04 21:45:56,006 - INFO - valid_loss:1.1851599311828613 in epoch6
2025-02-04 21:45:56,007 - INFO - valid_acc:0.646873991561702 in epoch6
2025-02-04 21:45:56,007 - INFO - Mean iou = 52.36% in epoch6
2025-02-04 21:45:56,008 - INFO - save the model in epoch6
Epoch 7/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.82batch/s]
2025-02-04 21:46:21,873 - INFO - train_loss:1.1870365389188131 in epoch7
2025-02-04 21:46:21,873 - INFO - train_acc:0.6573817061740395 in epoch7
2025-02-04 21:46:21,873 - INFO - Epoch 7: Learning Rate: [8e-05]
Epoch 7/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.48batch/s]
2025-02-04 21:46:25,735 - INFO - valid_loss:1.1876620769500732 in epoch7
2025-02-04 21:46:25,735 - INFO - valid_acc:0.5945543882788908 in epoch7
2025-02-04 21:46:25,735 - INFO - Mean iou = 48.35% in epoch7
Epoch 8/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.84batch/s]
2025-02-04 21:46:51,432 - INFO - train_loss:1.1841626604398092 in epoch8
2025-02-04 21:46:51,433 - INFO - train_acc:0.6797050835407527 in epoch8
2025-02-04 21:46:51,433 - INFO - Epoch 8: Learning Rate: [9e-05]
Epoch 8/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.41batch/s]
2025-02-04 21:46:55,333 - INFO - valid_loss:1.1756571769714355 in epoch8
2025-02-04 21:46:55,333 - INFO - valid_acc:0.7022357408160965 in epoch8
2025-02-04 21:46:55,333 - INFO - Mean iou = 57.91% in epoch8
2025-02-04 21:46:55,334 - INFO - save the model in epoch8
Epoch 9/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:25<00:00,  5.81batch/s]
2025-02-04 21:47:21,260 - INFO - train_loss:1.1808314029375713 in epoch9
2025-02-04 21:47:21,260 - INFO - train_acc:0.7076627726930805 in epoch9
2025-02-04 21:47:21,260 - INFO - Epoch 9: Learning Rate: [0.0001]
Epoch 9/500 [Validation]: 100%|████████████████████████████████████████| 25/25 [00:03<00:00,  6.36batch/s]
2025-02-04 21:47:25,193 - INFO - valid_loss:1.1854814052581788 in epoch9
2025-02-04 21:47:25,193 - INFO - valid_acc:0.6344217106831179 in epoch9
2025-02-04 21:47:25,193 - INFO - Mean iou = 50.97% in epoch9
Epoch 10/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.85batch/s]
2025-02-04 21:47:50,820 - INFO - train_loss:1.1781321676572163 in epoch10
2025-02-04 21:47:50,821 - INFO - train_acc:0.730353475596915 in epoch10
2025-02-04 21:47:50,821 - INFO - Epoch 10: Learning Rate: [0.0001]
Epoch 10/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.34batch/s]
2025-02-04 21:47:54,767 - INFO - valid_loss:1.1743246698379517 in epoch10
2025-02-04 21:47:54,767 - INFO - valid_acc:0.7107866366885796 in epoch10
2025-02-04 21:47:54,768 - INFO - Mean iou = 59.00% in epoch10
2025-02-04 21:47:54,768 - INFO - save the model in epoch10
Epoch 11/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.84batch/s]
2025-02-04 21:48:20,544 - INFO - train_loss:1.1746906709671021 in epoch11
2025-02-04 21:48:20,545 - INFO - train_acc:0.7611509408944639 in epoch11
2025-02-04 21:48:20,545 - INFO - Epoch 11: Learning Rate: [9.999897245068351e-05]
Epoch 11/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.33batch/s]
2025-02-04 21:48:24,495 - INFO - valid_loss:1.1692059755325317 in epoch11
2025-02-04 21:48:24,496 - INFO - valid_acc:0.7534836113325533 in epoch11
2025-02-04 21:48:24,496 - INFO - Mean iou = 63.56% in epoch11
2025-02-04 21:48:24,497 - INFO - save the model in epoch11
Epoch 12/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.81batch/s]
2025-02-04 21:48:50,404 - INFO - train_loss:1.1718994307518005 in epoch12
2025-02-04 21:48:50,404 - INFO - train_acc:0.7844618296740594 in epoch12
2025-02-04 21:48:50,404 - INFO - Epoch 12: Learning Rate: [9.999588984497258e-05]
Epoch 12/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.52batch/s]
2025-02-04 21:48:54,241 - INFO - valid_loss:1.16588116645813 in epoch12
