2025-02-04 23:20:47,416 - INFO - Namespace(device='cuda:0', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=8, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='MnMs', max_channel=256, l2_norm=1e-07, patience=15, wandb=True, cache=True, ed_es_only='', log_dir='../../de_logistics/MnMs_1UNetlinear_02-04-23-20-45/', log_file_path='../../de_logistics/MnMs_1UNetlinear_02-04-23-20-45/training.log')
Epoch 1/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:24<00:00,  1.67batch/s]
2025-02-04 23:22:20,202 - INFO - train_loss:1.3567890013363344 in epoch1
2025-02-04 23:22:20,202 - INFO - train_acc:0.25739234124954025 in epoch1
2025-02-04 23:22:20,202 - INFO - Epoch 1: Learning Rate: [2e-05]
Epoch 1/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.71batch/s]
2025-02-04 23:22:25,478 - INFO - valid_loss:1.2936982446246676 in epoch1
2025-02-04 23:22:25,478 - INFO - valid_acc:0.3049106117220674 in epoch1
2025-02-04 23:22:25,478 - INFO - Mean iou = 27.26% in epoch1
2025-02-04 23:22:25,479 - INFO - save the model in epoch1
Epoch 2/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:23<00:00,  1.68batch/s]
2025-02-04 23:23:49,270 - INFO - train_loss:1.2616629778070654 in epoch2
2025-02-04 23:23:49,270 - INFO - train_acc:0.4571009602407483 in epoch2
2025-02-04 23:23:49,271 - INFO - Epoch 2: Learning Rate: [3e-05]
Epoch 2/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.56batch/s]
2025-02-04 23:23:55,033 - INFO - valid_loss:1.2780992190043132 in epoch2
2025-02-04 23:23:55,033 - INFO - valid_acc:0.4876660373255414 in epoch2
2025-02-04 23:23:55,033 - INFO - Mean iou = 38.78% in epoch2
2025-02-04 23:23:55,034 - INFO - save the model in epoch2
Epoch 3/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:23<00:00,  1.68batch/s]
2025-02-04 23:25:19,110 - INFO - train_loss:1.2264497483030279 in epoch3
2025-02-04 23:25:19,110 - INFO - train_acc:0.6601914312319324 in epoch3
2025-02-04 23:25:19,111 - INFO - Epoch 3: Learning Rate: [4e-05]
Epoch 3/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.57batch/s]
2025-02-04 23:25:24,841 - INFO - valid_loss:1.2337755627102323 in epoch3
2025-02-04 23:25:24,841 - INFO - valid_acc:0.6237398325222278 in epoch3
2025-02-04 23:25:24,841 - INFO - Mean iou = 50.71% in epoch3
2025-02-04 23:25:24,842 - INFO - save the model in epoch3
Epoch 4/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:21<00:00,  1.73batch/s]
2025-02-04 23:26:46,574 - INFO - train_loss:1.2071924606959026 in epoch4
2025-02-04 23:26:46,575 - INFO - train_acc:0.7525860612247346 in epoch4
2025-02-04 23:26:46,575 - INFO - Epoch 4: Learning Rate: [5e-05]
Epoch 4/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.53batch/s]
2025-02-04 23:26:52,456 - INFO - valid_loss:1.211512909995185 in epoch4
2025-02-04 23:26:52,456 - INFO - valid_acc:0.7663337938689517 in epoch4
2025-02-04 23:26:52,456 - INFO - Mean iou = 64.88% in epoch4
2025-02-04 23:26:52,457 - INFO - save the model in epoch4
Epoch 5/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:22<00:00,  1.72batch/s]
2025-02-04 23:28:14,574 - INFO - train_loss:1.197679059725281 in epoch5
2025-02-04 23:28:14,574 - INFO - train_acc:0.7939401674181612 in epoch5
2025-02-04 23:28:14,574 - INFO - Epoch 5: Learning Rate: [6e-05]
Epoch 5/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.68batch/s]
2025-02-04 23:28:19,943 - INFO - valid_loss:1.2004714144600763 in epoch5
2025-02-04 23:28:19,943 - INFO - valid_acc:0.8261899509485933 in epoch5
2025-02-04 23:28:19,943 - INFO - Mean iou = 72.18% in epoch5
2025-02-04 23:28:19,944 - INFO - save the model in epoch5
Epoch 6/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:23<00:00,  1.68batch/s]
2025-02-04 23:29:43,840 - INFO - train_loss:1.1939465340147628 in epoch6
2025-02-04 23:29:43,840 - INFO - train_acc:0.809951534488618 in epoch6
2025-02-04 23:29:43,841 - INFO - Epoch 6: Learning Rate: [7e-05]
Epoch 6/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.60batch/s]
2025-02-04 23:29:49,483 - INFO - valid_loss:1.1985999743143718 in epoch6
2025-02-04 23:29:49,483 - INFO - valid_acc:0.8351347058295917 in epoch6
2025-02-04 23:29:49,483 - INFO - Mean iou = 73.34% in epoch6
2025-02-04 23:29:49,483 - INFO - save the model in epoch6
Epoch 7/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:21<00:00,  1.72batch/s]
2025-02-04 23:31:11,455 - INFO - train_loss:1.191662424845053 in epoch7
2025-02-04 23:31:11,455 - INFO - train_acc:0.8240063498067894 in epoch7
2025-02-04 23:31:11,455 - INFO - Epoch 7: Learning Rate: [8e-05]
Epoch 7/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.58batch/s]
2025-02-04 23:31:17,168 - INFO - valid_loss:1.2022370894749959 in epoch7
2025-02-04 23:31:17,169 - INFO - valid_acc:0.8277629742909333 in epoch7
2025-02-04 23:31:17,169 - INFO - Mean iou = 72.39% in epoch7
Epoch 8/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:23<00:00,  1.70batch/s]
2025-02-04 23:32:40,200 - INFO - train_loss:1.190845270528861 in epoch8
2025-02-04 23:32:40,200 - INFO - train_acc:0.8295124505390273 in epoch8
2025-02-04 23:32:40,200 - INFO - Epoch 8: Learning Rate: [9e-05]
Epoch 8/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.78batch/s]
2025-02-04 23:32:45,246 - INFO - valid_loss:1.1968579159842596 in epoch8
2025-02-04 23:32:45,246 - INFO - valid_acc:0.8733585488890143 in epoch8
2025-02-04 23:32:45,247 - INFO - Mean iou = 78.58% in epoch8
2025-02-04 23:32:45,247 - INFO - save the model in epoch8
Epoch 9/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:21<00:00,  1.74batch/s]
2025-02-04 23:34:06,467 - INFO - train_loss:1.1898405019273148 in epoch9
2025-02-04 23:34:06,467 - INFO - train_acc:0.8394584277785437 in epoch9
2025-02-04 23:34:06,467 - INFO - Epoch 9: Learning Rate: [0.0001]
