2025-02-07 14:38:14,853 - INFO - Namespace(device='cuda:7', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=2, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=512, l2_norm=1e-07, patience=15, wandb=True, cache=True, ed_es_only='', log_dir='../../de_logistics/ACDC_4UNetlinear_02-07-14-38-13/', log_file_path='../../de_logistics/ACDC_4UNetlinear_02-07-14-38-13/training.log')
Epoch 1/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:25<00:00,  2.06batch/s]
2025-02-07 14:40:44,897 - INFO - train_loss:1.2214790733655294 in epoch1
2025-02-07 14:40:44,898 - INFO - train_acc:0.5495608165622307 in epoch1
2025-02-07 14:40:44,898 - INFO - Epoch 1: Learning Rate: [2e-05]
Epoch 1/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.20batch/s]
2025-02-07 14:40:56,806 - INFO - valid_loss:1.1768228363990785 in epoch1
2025-02-07 14:40:56,807 - INFO - valid_acc:0.7538736860778585 in epoch1
2025-02-07 14:40:56,807 - INFO - Mean iou = 63.84% in epoch1
2025-02-07 14:40:56,808 - INFO - save the model in epoch1
Epoch 2/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 14:43:23,793 - INFO - train_loss:1.177889488140742 in epoch2
2025-02-07 14:43:23,793 - INFO - train_acc:0.7782846980801653 in epoch2
2025-02-07 14:43:23,794 - INFO - Epoch 2: Learning Rate: [3e-05]
Epoch 2/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.19batch/s]
2025-02-07 14:43:35,722 - INFO - valid_loss:1.1615555477142334 in epoch2
2025-02-07 14:43:35,722 - INFO - valid_acc:0.8616706931716585 in epoch2
2025-02-07 14:43:35,722 - INFO - Mean iou = 77.27% in epoch2
2025-02-07 14:43:35,723 - INFO - save the model in epoch2
Epoch 3/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 14:46:02,712 - INFO - train_loss:1.1703126811981202 in epoch3
2025-02-07 14:46:02,713 - INFO - train_acc:0.8279767814697966 in epoch3
2025-02-07 14:46:02,713 - INFO - Epoch 3: Learning Rate: [4e-05]
Epoch 3/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.22batch/s]
2025-02-07 14:46:14,574 - INFO - valid_loss:1.1610176515579225 in epoch3
2025-02-07 14:46:14,575 - INFO - valid_acc:0.8557769825189713 in epoch3
2025-02-07 14:46:14,575 - INFO - Mean iou = 76.48% in epoch3
Epoch 4/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 14:48:40,606 - INFO - train_loss:1.1660398717721303 in epoch4
2025-02-07 14:48:40,607 - INFO - train_acc:0.8540708546412903 in epoch4
2025-02-07 14:48:40,607 - INFO - Epoch 4: Learning Rate: [5e-05]
Epoch 4/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:12<00:00,  4.16batch/s]
2025-02-07 14:48:52,630 - INFO - valid_loss:1.1597585201263427 in epoch4
